a|يك(n;0.5)
anchor|لنگر(n;0.75),لنگر كشيدن(n;0.5),لنگر انداختن(v;0.5),محكم شدن(v;0.25),با لنگر بستن يا نگاه داشتن(v;0.25)
ancient|باستاني(j;0.75),پارينه(j;0.75),كهن(j;0.75),كهنه(j;0.5),قديمي(j;0.5),ديرينه(j;0.5),پير(j;0.25),ابا واجدادي(j;0.25),دير(j;0.25),عتيق(j;0.25)
and|و(n;0.75)
andrei|اندري(n;0.75)
andy|اندي(n;0.75)
anecdote|حكايت(n;0.75),امثال(n;0.5),قصه كوتاه(n;0.5)
angel|فرشتن(n;0.75),فرشته(n;0.5),فروهر(n;0.25),سروش(n;0.25)
angeles|انجلس(n;0.75)
angle|زاويه(n;0.75),قلاب ماهي گيري(n;0.25),گوشه(n;0.5),كنج(n;0.25),تيزي يا گوشه هر چيزي(n;0.25),طرف(n;0.25),با قلاب ماهي گرفتن(v;0.25),دام گستردن(v;0.25),دسيسه كردن(v;0.25)
anglican|وابستن بكليسا انگليس(n;0.75)
anglo|انگليس(n;0.75)
animal|حيواني(j;0.75),حيوان(n;0.75),جانوري(n;0.5),جانور(n;0.5)
anita|انيتا(n;0.75)
anna|انا(n;0.75)
annex|ضميمه(n;0.75),پيوست(n;0.75),ضميمه سازي(n;0.5),پيوستن(v;0.5),ضميمه كردن(v;0.5)
anniversary|سالگرد(n;0.75),سوگواري ساليانه(n;0.25),جشن ساليانه عروسي(n;0.25),مجلس يادبود يا جشن ساليانه(n;0.25),جشن يادگاري(n;0.25)
annotate|تفسير نوشتن(v;0.5),حاشيه نوشتن(v;0.5),يادداشت نوشتن(v;0.5)
announce|اعلام(n;0.75),خبر دادن(v;0.5),اگهي دادن(v;0.25),اعلان كردن(v;0.25),اخطار كردن(v;0.25),انتشار دادن(v;0.25),اشكار كردن(v;0.25),مدرك دادن(v;0.25)
annual|ساليانه(j;0.75),يك ساله(j;0.25)
annually|سالانه(n;0.75)
anonymous|بي نام(j;0.5),دارا نام مستعار(j;0.25),تخلصي(j;0.25)
another|ديگر(j;0.75),ديگري(j;0.75),جدا(j;0.25),ساير(j;0.25),غير(j;0.25),يكي ديگر(n;0.75),شخص ديگر(n;0.25)
answer|پاسخ(n;0.75),جواب(n;0.75),دفاع(n;0.25),پاسخ دادن(v;0.5),جواب دادن(v;0.5),از عهده برامدن(v;0.25),دفاع كردن(v;0.25),جوابگو شدن(v;0.25),بكار امدن(v;0.25),بكار رفتن(v;0.25),دردن خوردن(v;0.25),جواب احتياج را دادن(v;0.25),عهده دار شدن(v;0.25)
answering|پاسخ(n;0.75)
ante|حول و حوش(n;0.75)
antenatal|مربوط به قبل از تولد(j;0.5)
anti|مخالف(n;0.5)
antigen|پادگن(n;0.5),پادزا(n;0.25),ماده توليد كردن پادتن(n;0.25)
anxiety|اضطراب(n;0.75),گراندن(n;0.5),تشو(n;0.5),ارنگ(n;0.25),دلواپسي(n;0.25),انديشه(n;0.25),اشتياق(n;0.25),تمايل(n;0.25),غم(n;0.25),خوف(n;0.25)
anxious|مشتاق(j;0.5),دلواپس(j;0.5),ارزومند(j;0.25),انديشناك(j;0.25),بيم ناك(j;0.25)
anxiously|مشتاقانه(d;0.75),بطور نگران(d;0.5)
any|هر(j;0.75),هيچگونه(j;0.5),هيچ(n;0.75),كدام(n;0.5),چه(n;0.25),چقدر(n;0.25),چه نوع(n;0.25),از نوع(n;0.25),هيچ نوع(n;0.25)
anybody|كسي(n;0.75),هيچ كس(n;0.5),كسي هركجا(n;0.25)
anyone|هر كس(n;0.75),هر چيز(n;0.25),هر شخص معين(n;0.25)
anything|هر چيزي(n;0.75),چيزي(n;0.75),هر چيز(n;0.75),هيچ چيز(n;0.5),ابدا(n;0.25),هر كار(n;0.25),مه كار چيزي(n;0.25),هيچ كار(n;0.25),چيزي(d;0.75),هيچ(d;0.5),بر مقدار(d;0.25),بهيچ وجه(d;0.25),صفر(n;0.25)
anyway|در هر صورت(d;0.5),بهر حال(d;0.5),بهر اندازه(d;0.25),بهر اندازه كه(d;0.25)
anywhere|هر جا(d;0.75),هر كجا(d;0.5)
apart|جدا(j;0.75),كنار(j;0.5),مجزا از(d;0.25),سوا(d;0.25)
apathy|بي علاقه(n;0.75),بي حسي(n;0.5),بي عاطفه(n;0.5)
apollo|اپولو(n;0.75)
apology|عذرخواهي(n;0.75),پوزش(n;0.75),مدافعه(n;0.5),اعتذار(n;0.5)
appal|ترساندن(v;0.75),وحشت زدن شدن(v;0.75)
apparent|ظاهر(j;0.5),معلوم(j;0.5),مسلم(j;0.25),پيدا(j;0.25),اشكار(j;0.25),واري مسلم(j;0.25)
apparently|ظاهرا(d;0.75)
appeal|درخواست(n;0.75),التماس(n;0.25),استيناف(n;0.75),جذبه(n;0.5),طلب(n;0.25)
appear|ظاهر شدن(v;0.75),پديدار شدن(v;0.25),طلوع كردن(v;0.25),خاستن(v;0.25),سر زدن(v;0.25),طالع شدن(v;0.25)
appearance|ظاهر(n;0.75),نمايش(n;0.75),منظر(n;0.25),ظهور(n;0.75),پيدا(n;0.5),مودن(n;0.25),سيما(n;0.25),ظواهر(n;0.25),فرم(n;0.25)
appears|به نظر رسيدن(n;0.75),ظاهر شدن(v;0.75),پديدار شدن(v;0.25),طلوع كردن(v;0.25),خاستن(v;0.25),سر زدن(v;0.25),طالع شدن(v;0.25)
appendix|پيوست(n;0.75),ضميمه(n;0.75),ذيل(n;0.5),دنباله(n;0.5),اويزه(n;0.25),زائده كوچك(n;0.25),قولون(n;0.25),زائده اپانديس(n;0.25),زائده(n;0.25)
applicable|مناسب(j;0.5),قابل اطلاق(j;0.5),كاربستپذير(j;0.25),قابل اجرا(j;0.25),اجرا شدني(j;0.25),خوش ايند(j;0.25),خوب(j;0.25)
applicant|متقاضي(n;0.75),تقاضا كردن(n;0.25),طالب(n;0.25),داوطلب(n;0.5),درخواستگر(n;0.5)
application|كاربرد(n;0.75),درخواست(n;0.75),استفاده(n;0.75),استعمال(n;0.5),ضميمه(n;0.25),درخواست نامه(n;0.25),ممارست(n;0.25)
applies|اعمال(n;0.75),اعمال كردن(v;0.5),بكار بردن(v;0.5),مورد استفاده قرار گرفتن(v;0.25),بكار بستن(v;0.25),درخواست دادن(v;0.25),بكار زدن(v;0.25),استعمال كردن(v;0.25),اجرا كردن(v;0.25),متصل كردن(v;0.25),بهم بستن(v;0.25),درخواست كردن(v;0.25),شامل شدن(v;0.25),قابل اجرا بودن(v;0.25)
apply|درخواست(n;0.75),اعمال كردن(v;0.5),بكار بردن(v;0.5),مورد استفاده قرار گرفتن(v;0.25),بكار بستن(v;0.25),درخواست دادن(v;0.25),بكار زدن(v;0.25),استعمال كردن(v;0.25),اجرا كردن(v;0.25),متصل كردن(v;0.25),بهم بستن(v;0.25),درخواست كردن(v;0.25),شامل شدن(v;0.25),قابل اجرا بودن(v;0.25)
appoint|منصوب كردن(v;0.5),معين كردن(v;0.25),تعيين كردن(v;0.25),برقرار كردن(v;0.25),گماشتن(v;0.25),واداشتن(v;0.25),مقرر داشتن(v;0.25)
appointment|انتصاب(n;0.75),قرار ملاقه(n;0.75),وعده ملاقه(n;0.5),گماشت(n;0.5),وقت تعيين شدن(n;0.25),كار(n;0.25),منصب(n;0.25)
appreciate|قدرداني(n;0.75)
approach|روش(n;0.75),نزديك شدن(v;0.5),نزديك امدن(v;0.25)
approaching|نزديك شدن(n;0.75)
appropriate|مناسب(j;0.75),مقتضي(j;0.5),باب(j;0.25),در خور(j;0.25),اختصاص دادن(v;0.25),براي خود برداشتن(v;0.25),منظوركردن(v;0.25)
appropriation|تخصيص(n;0.75)
approval|تصويب(n;0.75),تجويز(n;0.25),ستا(n;0.25),رخصت(n;0.25),طرفداري(n;0.25)
approve|تاييد(n;0.75)
approximate|تقريبي(j;0.75),تقريب زدن(v;0.5),نزديك كردن(v;0.25),نزديك امدن(v;0.25)
april|اوريل(n;0.75)
aptitude|استعداد(n;0.75),شايسته(n;0.5),لياقت(n;0.5),گنجا(n;0.5),تمايل طبيعي(n;0.5),ميل ذاتي(n;0.5)
aqueous|ابي(n;0.75)
arab|عرب(n;0.75)
arabia|عربستان(n;0.75)
arbitrarily|دلخواهانه(d;0.5),مستبدانه(d;0.5),بطور قراردادي(d;0.25)
arbitration|داوري(n;0.75),حكميت(n;0.5),نتيجه حكميت(n;0.25),را بطريق حكميت(n;0.25)
arc|قوس(n;0.75),كمان(n;0.75),جرقه(n;0.5),هلال(n;0.5),خرپشتن(n;0.25),خم(n;0.25)
arcade|گذرگاه طاقدار(n;0.5),طاق پشت سرهم(n;0.25)
archaeological|باستان شناسي(n;0.75)
architect|معمار(n;0.75),طراح(n;0.5),مهراز(n;0.25),معماري كردن(v;0.25)
architecture|معماري(n;0.75),فن معماري(n;0.25),سبك معماري(n;0.25),مهرازي(n;0.25)
arduous|دشوار(j;0.75),پر زحمت(j;0.5),سخت(j;0.75),صعب الصعود(j;0.5)
area|منطقه(n;0.75),مساحت(n;0.75),ناحيه(n;0.5),سطح(n;0.5),حوزه(n;0.5),فضا(n;0.25),پهنه(n;0.25),طرف(n;0.25)
aren|aren(n;0.75)
argot|گو عاميانه(n;0.75),زبان ويژه دزدان(n;0.75),لهجه ولگرد(n;0.75)
argue|استدلال(n;0.75)
argument|استدلال(n;0.75),برهان(n;0.75),شانودن(n;0.5),مباحثه(n;0.5),مناظره(n;0.25),مشاجره(n;0.5),بحي(n;0.25),اثبه(n;0.25),يك سلسله دلايل قابل قبول(n;0.25)
arise|بوجود امدن(n;0.75)
arising|ناشي(n;0.75)
arithmetic|حسابي(n;0.75),علم حساب(n;0.5),حساب(n;0.75),حسابگر(n;0.5),سياق(n;0.25),حساب دان(n;0.25)
arizona|اريزونا(n;0.75)
arm|دست(n;0.75),بازو(n;0.75),سلاح(n;0.5),اسلحه(n;0.5),جنگ افزار(n;0.25),شاخه(n;0.5),قسمت(n;0.25),شعبه(n;0.25),دسته صندلي يا مبل(n;0.25),مسلح كردن(v;0.5),مجهز كردن(v;0.25)
army|ارتش(n;0.75),سپاه(n;0.5),لشكر(n;0.5),گروه(n;0.25),دسته(n;0.25),جمعيت(n;0.25),صف(n;0.25)
aromatherapy|اروماتراپي(n;0.75)
around|در طرف(n;0.75),در زديكدن(n;0.25),دور(d;0.5),پيرامون(d;0.5),در حوالي(d;0.5),سو ديگر(d;0.25),گرداگرد(d;0.25),در هر سو(d;0.25)
arraign|احضار نمودن(v;0.75)
arrange|مرتب كردن(v;0.5),ترتيب دادن(v;0.5),اراستن(v;0.25),چيدن(v;0.25),قرار گذاشتن(v;0.25),سازمند كردن(v;0.25),منظم كردن(v;0.25),طبقه نديدن كردن(v;0.25),طبقهبندييا جور كردن(v;0.25)
arrangement|تنظيم(n;0.75),ترتيب(n;0.75),نظم(n;0.5),مقدمه(n;0.5),قرار(n;0.5),تمهيد(n;0.25),تصفيه(n;0.25),ارا(n;0.25),طبقه نديدن(n;0.25),چيدن نان و شراب عشا رباني رو ميز(n;0.25)
arrest|بازداشت(n;0.75),توقيف(n;0.5),توقيف كردن(v;0.25),باز داشتن(v;0.25),محبوس كردن(v;0.25),حبس كردن(v;0.25),ناگه توقيف كردن(v;0.25),جلو گيري كردن(v;0.25)
arrival|ورود(n;0.75),دخول(n;0.25),مقدم(n;0.25)
arrive|رسيدن(v;0.75),وارد شدن(v;0.25),در رسيدن(v;0.25)
arrives|رسيدن(n;0.75),رسيدن(v;0.75),وارد شدن(v;0.25),در رسيدن(v;0.25)
arrogance|تكبر(n;0.75),غرور(n;0.75),نخوت(n;0.75),شدت عمل(n;0.5),گستاخي(n;0.5),گردنفرازي(n;0.5),خود را(n;0.5),خود سري(n;0.5),خيره سري(n;0.5),عظمت(n;0.5),خود يندن(n;0.5),سر بالا(n;0.5)
arrow|پيك(n;0.75),سهم(n;0.5),تير(n;0.5),يكانداز(n;0.25),خدنگ(n;0.25)
art|هنر(n;0.75),فن(n;0.25),صنعت(n;0.25),استعداد(n;0.25),استادي(n;0.25),نيرنگ(n;0.25)
article|مادن(n;0.75),فقره(n;0.25),مقاله(n;0.75),بند(n;0.5),كالا(n;0.25),متاع(n;0.25),چيز(n;0.25),اسباب(n;0.25),فصل(n;0.25),شرط(n;0.25),گفتار(n;0.25),حرف تعريف(n;0.25),عمل(n;0.25),بصورت ماده در اوردن(v;0.25),تفريح كردن(v;0.25)
articulating|بي(n;0.75),شمردن سخن گفتن(v;0.5),مفصل دار كردن(v;0.5)
artisoft|artisoft(n;0.75)
artist|هنرمند(n;0.75),هنرپيشه(n;0.25),نقاش و هنرمند(n;0.25),مصور(n;0.25),صنعت گر(n;0.25),موسيقي دان(n;0.25)
artistic|هنرمندانه(j;0.5),باهنر(j;0.25),مانند هنرپيشه و هنرمند(j;0.25)
as|مانند(d;0.5),چنانكه(d;0.5),بطوريكه(d;0.25),بعنو مثال(d;0.25),چون(n;0.5),چنانكه(n;0.5),چه(n;0.25),همچنانكه(n;0.25),هنگاميكه(n;0.25),نظر باينكه(n;0.25),در نتيجه(n;0.25)
asbestos|پنبه نسوز(n;0.75),پنبه كوهي(n;0.25),سنگ معدني دارا رشته لندن(n;0.25)
ascariasis|اسكاريازيس(n;0.75)
asia|اسيا(n;0.75)
aside|كنار(n;0.75)
asiz|asiz(n;0.75)
ask|پرسيدن(v;0.5),جويا شدن(v;0.25),براي چيزي بي تاب شدن(v;0.25),طلبيدن(v;0.25),خواستن(v;0.25),دعوت كردن(v;0.25),پرسش كردن(v;0.25),طلب كردن(v;0.25),سوال كردن(v;0.25),خبر گرفتن(v;0.25),خواهش كردن(v;0.25)
aspect|منظر(n;0.5),مودن(n;0.5),سيما(n;0.25),صورت(n;0.25),وضع(n;0.25)
aspiration|تنفس(n;0.5),دم زني(n;0.25),استنشاق(n;0.25),اه(n;0.25),ارزو(n;0.25),شهيق(n;0.25)
ass|الاغ(n;0.75),خر(n;0.5),ستيزه جو(n;0.25),ستيز گر(n;0.25)
assassination|ترور(n;0.75),قتل(n;0.75)
assault|حمله(n;0.75),يورش(n;0.75),تجاوز(n;0.75),حمله به مقدسه(n;0.25),اظهار عشق(n;0.25),تجاوز يا حمله كردن(v;0.25)
assembly|مجلس(n;0.75),اجتماع(n;0.5),انجمن(n;0.5),گروه(n;0.25),هيئت قانونگذاري(n;0.25),هم گذاري(n;0.25)
assen|اسن(n;0.75)
assert|ادعا(n;0.75),اثبه كردن(v;0.5),ادعا كردن(v;0.25),دفاع كردن از(v;0.25),حمايت كردن(v;0.25),ازاد كردن(v;0.25),اظهار قطعي كردن(v;0.25)
assertion|ادعا(n;0.75),اعلان(n;0.75),تاكيد(n;0.5),اثبه(n;0.5),اعلاميه(n;0.5),بيانيه(n;0.5),اظهارنامه(n;0.5),مدعي(n;0.5),تاييد ادعا(n;0.25),اگهي(n;0.25),اخبار(n;0.25)
assess|ارزيابي(n;0.75)
assessing|ارزيابي(n;0.75)
assessment|ارزيابي(n;0.75),تخمين(n;0.25),تشخيص(n;0.5),تعيين ماليه(n;0.25),وضع ماليه(n;0.25),تقويم(n;0.25),براورد(n;0.25),اظهارنظر(n;0.25)
asset|دارا(n;0.75),چيز با ارزش و مفيد(n;0.25),ممر عايدي(n;0.25),خواستن(n;0.25)
assimilate|در بدن جذب كردن(v;0.5),همانند ساختن(v;0.5),يكسان كردن(v;0.5),هم جنس كردن(v;0.5),شبيه ساختن(v;0.5),تحليل رفتن(v;0.5),وفق دادن(v;0.5),تلفيق كردن(v;0.5)
assist|همكاري(n;0.5),كمك كردن(v;0.5),همدستن و ياري كردن(v;0.25),مساعدت كردن(v;0.25),دستگيري كردن(v;0.25),شركت جستن(v;0.25),توجه كردن(v;0.25),پيوستن به(v;0.25),حمايت كردن از(v;0.25),پايمردي كردن(v;0.25),دستياري كردن(v;0.25),حضور بهم رساندن(v;0.25),ياري كردن(v;0.25),معاونت كردن(v;0.25)
assistance|كمك(n;0.75),دستياري(n;0.25),پايمردي(n;0.25),رسيده(n;0.25),مساعدت(n;0.75),معاونت(n;0.5),معاضدت(n;0.5),همدستن(n;0.25),مدد(n;0.25),مراعه(n;0.25)
assistant|معاون(n;0.75),دستيار(n;0.75),ياور(n;0.25),بردست(n;0.25),كمك(n;0.5),نايب(n;0.5),ترقي دادن(n;0.25),معين(n;0.25),رهبريار(n;0.25),حاضر(j;0.25)
associate|وابستن(j;0.75),همبستن(j;0.5),هم پيوند(j;0.5),دانشبهري(j;0.25),شريك(n;0.75),همسر(n;0.25),عضو پيوستن(n;0.5),معاون(n;0.25),رفيق(n;0.25),هم دست(n;0.25),هم قطار(n;0.25),شريك كردن(v;0.5)
association|انجمن(n;0.75),تجمع(n;0.5),وابسته(n;0.5),پيوسته(n;0.25),مشاركت(n;0.5),شركت(n;0.25),اتحاد(n;0.25),تداعي معاني(n;0.25),اميزش(n;0.25),ائتلاف(n;0.25)
assume|گرفتن(v;0.5),خودن گرفتن(v;0.25),فرض كردن(v;0.25),انگاشتن(v;0.25),پنداشتن(v;0.25),خودن بستن(v;0.25),وانمود كردن(v;0.25),تظاهر كردن(v;0.25),تقليد كردن(v;0.25),بعهده گرفتن(v;0.25),تقبل كردن(v;0.25)
assumption|فرض(n;0.75),گمان(n;0.5),پنداشت(n;0.5),تعهد(n;0.25),غرور(n;0.25),اتخاذ(n;0.25),قصد(n;0.25),انگاشت(n;0.25),خود را(n;0.25),خود سري(n;0.25),خود يندن(n;0.25)
assurance|تضمين(n;0.75),ضمانت(n;0.75),تعهد(n;0.5),اطمين(n;0.75),بيمه(n;0.5),خاطرجمعي(n;0.25),گستاخي(n;0.25),قيد(n;0.25),گرفتاري(n;0.25),وثيقه(n;0.25),گرو(n;0.25),پشت گرمي(n;0.25),خود را(n;0.25),خود سري(n;0.25),دل گرمي(n;0.25)
assure|اطمين(n;0.75),اطمين دادن(v;0.5),بيمه كردن(v;0.25),مجاب كردن(v;0.25),راضي كردن(v;0.25),خاطر جمع كردن(v;0.25)
astound|مبهوت كردن(v;0.75)
asylum|پناه(n;0.5),تيمارستان(n;0.5),گريزگاه(n;0.25),نوانخانه(n;0.25),بستگاه(n;0.25),پناه گاه(n;0.25),خسته خانه(n;0.25)
at|در(n;0.75),به(n;0.5),بسو(n;0.25),بطرف(n;0.25),پهلو(n;0.25),نزديك(n;0.25),بنا بر(n;0.25),در نتيجه(n;0.25),بر حسب(n;0.25),از قرار(n;0.25),بقرار(n;0.25),بر(n;0.25),سر(n;0.25),ات(n;0.25)
ate|خوردن(n;0.75)
atlantic|اطلس(n;0.75)
atmosphere|جو(n;0.75),پناد(n;0.25),كره هوا(n;0.25),واحد فشار هوا(n;0.25),فضا طرف هر جسمي(n;0.25)
attach|ضميمه كردن(v;0.5),پيوست كردن(v;0.5),چسباندن(v;0.5),پيوستن(v;0.5),الصاق كردن(v;0.25),بستن(v;0.25),نسبت دادن(v;0.25),گذاشتن(v;0.25),ضبط كردن(v;0.25),دلبستن شدن(v;0.25)
attack|حمله(n;0.75),يورش(n;0.5),تكش(n;0.25),تاخت(n;0.25),تاخت و تاز(n;0.25),اصابت يا نزول ناخوشي(n;0.25),تجاوز(n;0.25),تعرض(n;0.25),حمله كردن بر(v;0.25),مبادرت كردن به(v;0.25),تاخت كردن(v;0.25),مورد حمله قرار دادن(v;0.25),حمله كردن(v;0.25),تعرض كردن(v;0.25)
attain|رسيدن(v;0.75),دست يافتن(v;0.5),رسيدن به(v;0.75),نائل شدن(v;0.5),تمام كردن(v;0.25),بدست اوردن(v;0.25),زدن(v;0.25)
attempt|قصد(n;0.75),كوشش(n;0.5),كوشش كردن(v;0.25),قصد كردن(v;0.25),مبادرت كردن به(v;0.25),تقلا كردن(v;0.25),جستجو كردن(v;0.25)
attempting|تلاش(n;0.75)
attend|حضور(n;0.75)
attention|توجه(n;0.75),دقت(n;0.5),مراقبت(n;0.5),رسيده(n;0.25),حواس(n;0.25),ادب و نزاكت(n;0.25),خبردار(n;0.25),حاضرباش(n;0.25)
attitude|گرا(n;0.5),طرز برخورد(n;0.5),حالت(n;0.25),هيئت(n;0.25),روش و رفتار(n;0.25)
attorneys|وكلا(n;0.75)
attract|جذب(n;0.75)
attraction|جاذبه(n;0.75),جذب(n;0.75),جلب(n;0.5),كشش(n;0.5),كشنده(n;0.25)
attribute|صفت(n;0.75),جنبه(n;0.25),نشان(n;0.25),شهرت(n;0.25),افتخار(n;0.25),نسبت دادن(v;0.5),حمل كردن(v;0.25)
au|طلا(n;0.75)
aubagne|aubagne(n;0.75)
audience|حضار(n;0.5),بار(n;0.25),ملاقه رسمي(n;0.25),مستمعين(n;0.25),شنوده(n;0.25)
audition|استماع(n;0.75),شنوا(n;0.75),قدرت استماع(n;0.5),ازما هنرپيشه(n;0.5)
aug|اوت(n;0.75)
august|اوت(n;0.75),همايون(j;0.5),عالي نسب(j;0.5)
aura|رايحه(n;0.5),تشعشع نوراني(n;0.5),نشيه و تجلي ر ماده(n;0.25)
austere|تند و تلخ(j;0.75),سخت(j;0.75),تيره رنگ(j;0.5),رياضت كش(j;0.5)
australian|استراليا(n;0.75)
author|نويستن(n;0.75),مولف(n;0.5),باني(n;0.25),ساختن(n;0.25),مصنف(n;0.25),نويسنده كردن(v;0.25),تاليف و تصنيف كردن(v;0.25)
authorise|اجازه دادن(v;0.5),اختيار دادن(v;0.5),ترخيص كردن(v;0.5),تصويب كردن(v;0.5)
authority|قدرت(n;0.75),اختيار(n;0.5),اعتبار(n;0.5),اجازه(n;0.5),متخصص(n;0.25),توانا(n;0.25),نفوذ(n;0.25),نويسنده معتبر(n;0.25),اوليا امر(n;0.25),تسلط(n;0.25),تصدي(n;0.25),خوشنامي(n;0.25)
authorize|اجازه دادن(v;0.5),اختيار دادن(v;0.5),ترخيص كردن(v;0.5),تصويب كردن(v;0.5)
autobiography|خود زندگي نامه(n;0.5),خودزيستنامه(n;0.5),نگارش شرح زندگي شخصي بوسيله خود او(n;0.5)
automate|به طور خودكار(n;0.75)
